"","pid","sex","birth_year","race","hispanic","home_language","US_born","grade_w1","suspension_this_year","ever_suspended","grade_last_suspended","extrav","agree","consc","neuro","open","anger","optimism","anxiety","race_complex","extrav_c","agree_c","consc_c","neuro_c","open_c","anxiety_c","anger_c","optimism_c"
"115","57230663","female",76,"HISPANIC","yes","Spanish","yes","12",NA,"yes","8",3.5,3,2.75,3,3.5,3,3,2.75,"White",0.445191804137209,0.0976859125425502,-0.231703325477874,0.0430904687090861,0.192033254778738,-0.105230426813302,-0.0362005760670332,0.157845640219953
"116","57230940","male",82,"OTHER","no","English","yes","7","no","no",NA,3,3.25,3,3,2.25,3.25,3,3,"White",-0.0548081958627913,0.34768591254255,0.018296674522126,0.0430904687090861,-1.05796674522126,0.144769573186698,0.213799423932967,0.157845640219953
"117","57231300","female",78,"OTHER","no","English","yes","11","no","no",NA,3.25,3,3.25,2.75,3,3.5,3.5,3,"White",0.195191804137209,0.0976859125425502,0.268296674522126,-0.206909531290914,-0.307966745221262,0.144769573186698,0.463799423932967,0.657845640219953
"118","57231320","female",79,"OTHER","no","English","yes","10","no","no",NA,3,2.75,2.75,2.5,3.25,2.75,3,2.5,"White",-0.0548081958627913,-0.15231408745745,-0.231703325477874,-0.456909531290914,-0.057966745221262,-0.355230426813302,-0.286200576067033,0.157845640219953
"119","57231603","male",79,"OTHER","no","English","yes","10","no","no",NA,2,2.75,3.25,3,4,3.25,2.75,2.25,"Asian/Pacific Islander",-1.05480819586279,-0.15231408745745,0.268296674522126,0.0430904687090861,0.692033254778738,-0.605230426813302,0.213799423932967,-0.0921543597800469
"120","57232895","male",77,"OTHER","no","English","yes","11","no","no",NA,2.25,3.25,3,3.25,2.5,3,3,2.5,"White",-0.804808195862791,0.34768591254255,0.018296674522126,0.293090468709086,-0.807966745221262,-0.355230426813302,-0.0362005760670332,0.157845640219953
"121","57233403","male",78,"OTHER","no","English","yes","11","no","no",NA,3,3.75,3.25,3.25,2.25,3,3,3.25,"White",-0.0548081958627913,0.84768591254255,0.268296674522126,0.293090468709086,-1.05796674522126,0.394769573186698,-0.0362005760670332,0.157845640219953
"122","57234514","female",77,"OTHER","no","English","yes","11","no","no",NA,3.25,3,3,3.5,4,3.25,3,2.75,"White",0.195191804137209,0.0976859125425502,0.018296674522126,0.543090468709086,0.692033254778738,-0.105230426813302,0.213799423932967,0.157845640219953
"123","57235039","female",77,"OTHER","no","English","yes","12","no","no",NA,3.5,2.25,2.75,3,3,3,3,3.25,"White",0.445191804137209,-0.65231408745745,-0.231703325477874,0.0430904687090861,-0.307966745221262,0.394769573186698,-0.0362005760670332,0.157845640219953
"124","57239363","male",79,"OTHER","no","English","yes","9","yes","yes","9",2.75,2.75,2.25,2.75,2.75,2.75,2.25,2.75,"White",-0.304808195862791,-0.15231408745745,-0.731703325477874,-0.206909531290914,-0.557966745221262,-0.105230426813302,-0.286200576067033,-0.592154359780047
"125","57239974","female",81,"OTHER","no","English","yes","8","no","no",NA,3.25,2.75,3,3,3.25,3,3.5,2.75,"White",0.195191804137209,-0.15231408745745,0.018296674522126,0.0430904687090861,-0.057966745221262,-0.105230426813302,-0.0362005760670332,0.657845640219953
"126","57241075","female",81,"OTHER","no","English","yes","8","no","no",NA,2.75,2.5,2.75,3.75,3.5,3.75,2.5,2.75,"White",-0.304808195862791,-0.40231408745745,-0.231703325477874,0.793090468709086,0.192033254778738,-0.105230426813302,0.713799423932967,-0.342154359780047
"127","57241170","female",77,"BLACK","no","English","yes","10","no","yes","8",3.5,3,3,2.75,3,3,2.5,3.25,"Black",0.445191804137209,0.0976859125425502,0.018296674522126,-0.206909531290914,-0.307966745221262,0.394769573186698,-0.0362005760670332,-0.342154359780047
"128","57242812","male",78,"BLACK","no","English",NA,"9","yes","yes","9",3,2.5,3,3,2.25,2.5,3.25,3,"Black",-0.0548081958627913,-0.40231408745745,0.018296674522126,0.0430904687090861,-1.05796674522126,0.144769573186698,-0.536200576067033,0.407845640219953
"129","57242885","female",78,"OTHER","no","English","yes","11","no","no",NA,2.75,3,3,2.75,3.25,2.75,3,2.75,"White",-0.304808195862791,0.0976859125425502,0.018296674522126,-0.206909531290914,-0.057966745221262,-0.105230426813302,-0.286200576067033,0.157845640219953
"131","57245293","male",80,"BLACK","no","English","yes","8","yes","no",NA,2.5,3,1.75,3,3.25,2.75,2.75,3.5,"Black",-0.554808195862791,0.0976859125425502,-1.23170332547787,0.0430904687090861,-0.057966745221262,0.644769573186698,-0.286200576067033,-0.0921543597800469
"132","57245315","female",79,"BLACK","no","English","yes","9",NA,"yes","7",3,2.75,3,3,3.5,3.5,2.5,2.5,"Black",-0.0548081958627913,-0.15231408745745,0.018296674522126,0.0430904687090861,0.192033254778738,-0.355230426813302,0.463799423932967,-0.342154359780047
"133","57245379","female",78,"OTHER","no","English","yes","10","no","no",NA,3.75,3,2,3.25,4,3,4.25,2.25,"White",0.695191804137209,0.0976859125425502,-0.981703325477874,0.293090468709086,0.692033254778738,-0.605230426813302,-0.0362005760670332,1.40784564021995
